"date","P1_B_BCap_Blos_BArr__niq","P1_B_BCap_S1los_BArr__niq","P1_B_BCap_S2los_BArr__niq","P1_B_S1Cap_Blos_BArr__niq","P1_B_S1Cap_S1los_BArr__niq","P1_B_S1Cap_S2los_BArr__niq","P1_B_BCap_Blos_S1Arr__niq","P1_B_BCap_S1los_S1Arr__niq","P1_B_BCap_S2los_S1Arr__niq","P1_B_S1Cap_Blos_S1Arr__niq","P1_B_S1Cap_S1los_S1Arr__niq","P1_B_S1Cap_S2los_S1Arr__niq","P1_NS_BCap_Blos_BArr__niq","P1_NS_BCap_S1los_BArr__niq","P1_NS_BCap_S2los_BArr__niq","P1_NS_S1Cap_Blos_BArr__niq","P1_NS_S1Cap_S1los_BArr__niq","P1_NS_S1Cap_S2los_BArr__niq","P1_NS_BCap_Blos_S1Arr__niq","P1_NS_BCap_S1los_S1Arr__niq","P1_NS_BCap_S2los_S1Arr__niq","P1_NS_S1Cap_Blos_S1Arr__niq","P1_NS_S1Cap_S1los_S1Arr__niq","P1_NS_S1Cap_S2los_S1Arr__niq","P1_SG_BCap_Blos_BArr__niq","P1_SG_BCap_S1los_BArr__niq","P1_SG_BCap_S2los_BArr__niq","P1_SG_S1Cap_Blos_BArr__niq","P1_SG_S1Cap_S1los_BArr__niq","P1_SG_S1Cap_S2los_BArr__niq","P1_SG_BCap_Blos_S1Arr__niq","P1_SG_BCap_S1los_S1Arr__niq","P1_SG_BCap_S2los_S1Arr__niq","P1_SG_S1Cap_Blos_S1Arr__niq","P1_SG_S1Cap_S1los_S1Arr__niq","P1_SG_S1Cap_S2los_S1Arr__niq","P1_B_BCap_Blos_BArr__occ","P1_B_BCap_S1los_BArr__occ","P1_B_BCap_S2los_BArr__occ","P1_B_S1Cap_Blos_BArr__occ","P1_B_S1Cap_S1los_BArr__occ","P1_B_S1Cap_S2los_BArr__occ","P1_B_BCap_Blos_S1Arr__occ","P1_B_BCap_S1los_S1Arr__occ","P1_B_BCap_S2los_S1Arr__occ","P1_B_S1Cap_Blos_S1Arr__occ","P1_B_S1Cap_S1los_S1Arr__occ","P1_B_S1Cap_S2los_S1Arr__occ","P1_NS_BCap_Blos_BArr__occ","P1_NS_BCap_S1los_BArr__occ","P1_NS_BCap_S2los_BArr__occ","P1_NS_S1Cap_Blos_BArr__occ","P1_NS_S1Cap_S1los_BArr__occ","P1_NS_S1Cap_S2los_BArr__occ","P1_NS_BCap_Blos_S1Arr__occ","P1_NS_BCap_S1los_S1Arr__occ","P1_NS_BCap_S2los_S1Arr__occ","P1_NS_S1Cap_Blos_S1Arr__occ","P1_NS_S1Cap_S1los_S1Arr__occ","P1_NS_S1Cap_S2los_S1Arr__occ","P1_SG_BCap_Blos_BArr__occ","P1_SG_BCap_S1los_BArr__occ","P1_SG_BCap_S2los_BArr__occ","P1_SG_S1Cap_Blos_BArr__occ","P1_SG_S1Cap_S1los_BArr__occ","P1_SG_S1Cap_S2los_BArr__occ","P1_SG_BCap_Blos_S1Arr__occ","P1_SG_BCap_S1los_S1Arr__occ","P1_SG_BCap_S2los_S1Arr__occ","P1_SG_S1Cap_Blos_S1Arr__occ","P1_SG_S1Cap_S1los_S1Arr__occ","P1_SG_S1Cap_S2los_S1Arr__occ","P1_B_BCap_Blos_BArr__wait","P1_B_BCap_S1los_BArr__wait","P1_B_BCap_S2los_BArr__wait","P1_B_S1Cap_Blos_BArr__wait","P1_B_S1Cap_S1los_BArr__wait","P1_B_S1Cap_S2los_BArr__wait","P1_B_BCap_Blos_S1Arr__wait","P1_B_BCap_S1los_S1Arr__wait","P1_B_BCap_S2los_S1Arr__wait","P1_B_S1Cap_Blos_S1Arr__wait","P1_B_S1Cap_S1los_S1Arr__wait","P1_B_S1Cap_S2los_S1Arr__wait","P1_NS_BCap_Blos_BArr__wait","P1_NS_BCap_S1los_BArr__wait","P1_NS_BCap_S2los_BArr__wait","P1_NS_S1Cap_Blos_BArr__wait","P1_NS_S1Cap_S1los_BArr__wait","P1_NS_S1Cap_S2los_BArr__wait","P1_NS_BCap_Blos_S1Arr__wait","P1_NS_BCap_S1los_S1Arr__wait","P1_NS_BCap_S2los_S1Arr__wait","P1_NS_S1Cap_Blos_S1Arr__wait","P1_NS_S1Cap_S1los_S1Arr__wait","P1_NS_S1Cap_S2los_S1Arr__wait","P1_SG_BCap_Blos_BArr__wait","P1_SG_BCap_S1los_BArr__wait","P1_SG_BCap_S2los_BArr__wait","P1_SG_S1Cap_Blos_BArr__wait","P1_SG_S1Cap_S1los_BArr__wait","P1_SG_S1Cap_S2los_BArr__wait","P1_SG_BCap_Blos_S1Arr__wait","P1_SG_BCap_S1los_S1Arr__wait","P1_SG_BCap_S2los_S1Arr__wait","P1_SG_S1Cap_Blos_S1Arr__wait","P1_SG_S1Cap_S1los_S1Arr__wait","P1_SG_S1Cap_S2los_S1Arr__wait","P1_B_BCap_Blos_BArr__cost","P1_B_BCap_S1los_BArr__cost","P1_B_BCap_S2los_BArr__cost","P1_B_S1Cap_Blos_BArr__cost","P1_B_S1Cap_S1los_BArr__cost","P1_B_S1Cap_S2los_BArr__cost","P1_B_BCap_Blos_S1Arr__cost","P1_B_BCap_S1los_S1Arr__cost","P1_B_BCap_S2los_S1Arr__cost","P1_B_S1Cap_Blos_S1Arr__cost","P1_B_S1Cap_S1los_S1Arr__cost","P1_B_S1Cap_S2los_S1Arr__cost","P1_NS_BCap_Blos_BArr__cost","P1_NS_BCap_S1los_BArr__cost","P1_NS_BCap_S2los_BArr__cost","P1_NS_S1Cap_Blos_BArr__cost","P1_NS_S1Cap_S1los_BArr__cost","P1_NS_S1Cap_S2los_BArr__cost","P1_NS_BCap_Blos_S1Arr__cost","P1_NS_BCap_S1los_S1Arr__cost","P1_NS_BCap_S2los_S1Arr__cost","P1_NS_S1Cap_Blos_S1Arr__cost","P1_NS_S1Cap_S1los_S1Arr__cost","P1_NS_S1Cap_S2los_S1Arr__cost","P1_SG_BCap_Blos_BArr__cost","P1_SG_BCap_S1los_BArr__cost","P1_SG_BCap_S2los_BArr__cost","P1_SG_S1Cap_Blos_BArr__cost","P1_SG_S1Cap_S1los_BArr__cost","P1_SG_S1Cap_S2los_BArr__cost","P1_SG_BCap_Blos_S1Arr__cost","P1_SG_BCap_S1los_S1Arr__cost","P1_SG_BCap_S2los_S1Arr__cost","P1_SG_S1Cap_Blos_S1Arr__cost","P1_SG_S1Cap_S1los_S1Arr__cost","P1_SG_S1Cap_S2los_S1Arr__cost"
2023-01-01,76.6,78.4,77.2,0,0,0,77,78.6,77.2,0,0,0,74.8,75.8,75.4,0,0,0,74.8,75.8,75.2,0,0,0,76.6,78.2,77,0,0,0,76.6,78.2,77,0,0,0,91.68,91.76,91.6,213.76,216.88,215.28,91.68,91.76,91.6,214.4,217.28,215.28,91.68,91.76,91.6,210.64,212.48,212.4,91.68,91.76,91.6,210.64,212.48,212.08,91.68,91.76,91.6,213.76,216.48,214.96,91.68,91.76,91.6,213.76,216.48,214.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55153.6,55801.4,55336.2,66800,67775,67275,55292,55870.6,55336.2,67000,67900,67275,54530.8,54901.8,54713.4,65825,66400,66375,54530.8,54901.8,54644.2,65825,66400,66275,55153.6,55732.2,55267,66800,67650,67175,55153.6,55732.2,55267,66800,67650,67175
2023-01-02,72,64.8,69.6,0,0,0,71.6,65,70,0,0,0,66.2,58.4,65,0,0,0,66.2,58.4,64.8,0,0,0,70.4,62.8,67.8,0,0,0,70.4,62.8,68,0,0,0,91.92,91.76,91.84,184.56,157.28,174.88,91.92,91.76,91.84,184.08,157.76,175.52,91.92,91.76,91.84,176.08,148.48,167.92,91.92,91.76,91.84,176.08,148.48,167.68,91.92,91.76,91.84,182.08,154.16,172.08,91.92,91.76,91.84,182.08,154.16,172.4,0.169491525423729,0.267326732673267,0.166666666666667,0,0,0,0.169491525423729,0.267326732673267,0.166666666666667,0,0,0,0.169491525423729,0.267326732673267,0.166666666666667,0,0,0,0.169491525423729,0.267326732673267,0.166666666666667,0,0,0,0.169491525423729,0.267326732673267,0.166666666666667,0,0,0,0.169491525423729,0.267326732673267,0.166666666666667,0,0,0,53637,51095.8,52781.6,57675,49150,54650,53498.6,51165,52920,57525,49300,54850,51630.2,48881.4,51190,55025,46400,52475,51630.2,48881.4,51120.8,55025,46400,52400,53083.4,50403.8,52158.8,56900,48175,53775,53083.4,50403.8,52228,56900,48175,53875
2023-01-03,69.2,53.2,60.6,0,0,0,68.2,51.4,60,0,0,0,59.2,43.2,52.6,0,0,0,59.2,43.4,54,0,0,0,66.4,48.4,58,0,0,0,66.2,48.2,57.6,0,0,0,91.92,91.68,91.52,164,121.12,143.84,91.92,91.68,91.52,162.72,117.84,142.96,91.92,91.68,91.52,149.76,108.56,132.4,91.92,91.68,91.52,149.76,108.88,134.64,91.92,91.68,91.52,159.84,114.24,139.6,91.92,91.68,91.52,159.52,113.92,138.96,0.380952380952381,0.780821917808219,0.597014925373134,0,0,0,0.380952380952381,0.780821917808219,0.597014925373134,0,0,0,0.380952380952381,0.780821917808219,0.597014925373134,0,0,0,0.380952380952381,0.780821917808219,0.597014925373134,0,0,0,0.380952380952381,0.780821917808219,0.597014925373134,0,0,0,0.380952380952381,0.780821917808219,0.597014925373134,0,0,0,52668.2,47057.2,49567.6,51250,37850,44950,52322.2,46434.4,49360,50850,36825,44675,49208.2,43597.2,46799.6,46800,33925,41375,49208.2,43666.4,47284,46800,34025,42075,51699.4,45396.4,48668,49950,35700,43625,51630.2,45327.2,48529.6,49850,35600,43425
2023-01-04,68,47.2,56,0,0,0,68.8,44.8,55,0,0,0,54.4,32.8,44.4,0,0,0,54.4,34.6,46,0,0,0,63.2,40.4,51.6,0,0,0,62.2,39.4,51.2,0,0,0,91.52,91.6,91.6,148.48,104,124,91.52,91.6,91.6,150.64,101.2,123.04,91.52,91.6,91.6,131.12,88,110.64,91.52,91.6,91.6,131.12,90.24,112.88,91.52,91.6,91.6,142.64,95.04,118.32,91.52,91.6,91.6,141.36,93.92,117.36,0.836734693877551,1.125,1.25423728813559,0,0,0,0.836734693877551,1.125,1.25423728813559,0,0,0,0.836734693877551,1.125,1.25423728813559,0,0,0,0.836734693877551,1.125,1.25423728813559,0,0,0,0.836734693877551,1.125,1.25423728813559,0,0,0,0.836734693877551,1.125,1.25423728813559,0,0,0,52128,44956.2,48001,46400,32500,38750,52404.8,44125.8,47655,47075,31625,38450,47422.4,39973.8,43987.4,40975,27500,34575,47422.4,40596.6,44541,40975,28200,35275,50467.2,42603.4,46478.6,44575,29700,36975,50121.2,42257.4,46340.2,44175,29350,36675
2023-01-05,68.2,34.6,49.6,0,0,0,66.6,33.2,49.8,0,0,0,50,17.8,37.8,0,0,0,50,20.6,38.8,0,0,0,60.4,27.4,46.8,0,0,0,59.8,26.8,45.4,0,0,0,91.52,91.92,91.6,137.6,86.88,110.48,91.52,91.92,91.6,135.52,87.44,111.44,91.52,91.84,91.6,115.44,71.28,100.16,91.52,91.84,91.6,115.44,74.16,100.24,91.52,91.92,91.6,126.56,78.16,108.4,91.52,91.92,91.6,126.16,78.16,106.08,1.86274509803922,1.6140350877193,1.5,0,0,0,1.86274509803922,1.60714285714286,1.5,0,0,0,1.86274509803922,1.56363636363636,1.5,0,0,0,1.86274509803922,1.56363636363636,1.5,0,0,0,1.86274509803922,1.60714285714286,1.5,0,0,0,1.86274509803922,1.60714285714286,1.5,0,0,0,52197.2,40696.6,45786.6,43000,27150,34525,51643.6,40212.2,45855.8,42350,27325,34825,45900,34858.8,41703.8,36075,22275,31300,45900,35827.6,42049.8,36075,23175,31325,49498.4,38205.4,44817.8,39550,24425,33875,49290.8,37997.8,44333.4,39425,24425,33150
2023-01-06,67.8,25.6,47.4,0,0,0,64.8,25.2,44.8,0,0,0,45.2,7,30.4,0,0,0,45.2,10,32,0,0,0,58.8,19.2,43.2,0,0,0,57.6,17.8,41.2,0,0,0,91.36,91.68,91.92,133.84,82.4,106.16,91.36,91.6,91.92,129.52,83.2,103.12,91.36,91.2,91.92,107.92,62.48,90.72,91.36,91.52,91.92,107.92,65.76,91.28,91.36,91.84,91.92,121.84,72,102.64,91.36,91.84,91.92,120.64,70.8,99.44,1.61111111111111,2.63333333333333,1.73170731707317,0,0,0,1.67567567567568,2.65573770491803,1.73170731707317,0,0,0,1.67567567567568,2.61666666666667,1.73170731707317,0,0,0,1.67567567567568,2.59016393442623,1.73170731707317,0,0,0,1.67567567567568,2.63492063492063,1.73170731707317,0,0,0,1.67567567567568,2.63492063492063,1.73170731707317,0,0,0,52008.8,37507.6,45125.4,41825,25750,33175,50970.8,37344.2,44225.8,40475,26000,32225,44189.2,30922,39243.4,33725,19525,28350,44189.2,32060,39797,33725,20550,28525,48894.8,35343.2,43672.2,38075,22500,32075,48479.6,34858.8,42980.2,37700,22125,31075
2023-01-07,71.8,22.4,46.4,0,0,0,66.2,21.4,44.2,0,0,0,40.8,3.8,23.6,0,0,0,41,5.4,25.8,0,0,0,53.8,8.4,38.4,0,0,0,53.6,10.2,38.2,0,0,0,91.52,91.92,91.76,135.04,83.44,103.04,91.52,91.6,91.76,128.08,82.64,103.2,91.52,84.64,91.68,99.84,56.48,83.84,91.52,87.76,91.6,100.16,63.04,85.28,91.52,91.04,91.68,108.96,61.6,94.32,91.52,91.68,91.76,110.32,68.56,94.88,1.96969696969697,2.52727272727273,2.22,0,0,0,2.08823529411765,2.59259259259259,2.18367346938776,0,0,0,2.08823529411765,2.32,2.06382978723404,0,0,0,2.08823529411765,2.45098039215686,2.06382978723404,0,0,0,2.08823529411765,2.5,2.14583333333333,0,0,0,2.08823529411765,2.484375,2.18367346938776,0,0,0,53442.8,36475.4,44729.4,42200,26075,32200,51505.2,36029.4,43968.2,40025,25825,32250,42716.8,27764.8,36815.6,31200,17650,26200,42786,29293.4,37551.8,31300,19700,26650,47214.8,31356.4,41936.4,34050,19250,29475,47145.6,32179.2,41892.2,34475,21425,29650
2023-01-08,64.8,14.2,35.8,0,0,0,59.6,12.8,31.8,0,0,0,31,0,12.6,0,0,0,31,1.8,14.6,0,0,0,45.2,1.6,26.4,0,0,0,45.6,2.4,26,0,0,0,91.6,91.44,91.84,120.32,68.8,89.36,91.6,91.84,91.84,114.88,67.36,86.8,91.84,71.92,91.76,85.84,45.28,68.24,91.84,76.16,91.84,85.76,50.08,69.12,91.6,84.88,91.68,95.76,50.64,80.8,91.6,89.04,91.76,98.24,57.04,79.28,2.36111111111111,2.80769230769231,2.87755102040816,0,0,0,2.58974358974359,2.77272727272727,2.89795918367347,0,0,0,2.91666666666667,2.35416666666667,2.82352941176471,0,0,0,2.91666666666667,2.31914893617021,2.88235294117647,0,0,0,2.91666666666667,2.56603773584906,2.88,0,0,0,2.91666666666667,2.6,2.88,0,0,0,51045.8,33488.2,41086.8,37600,21500,27925,49246.6,33128.8,39702.8,35900,21050,27125,39426,22475,33034.6,26825,14150,21325,39426,24422.8,33751.6,26800,15650,21600,44264.2,27078.6,37784.4,29925,15825,25250,44402.6,28655.4,37671,30700,17825,24775
2023-01-09,56.6,5.6,24.4,0,0,0,51.4,5.8,21.6,0,0,0,21,0,5.4,0,0,0,21,0,5.8,0,0,0,34.8,0,15.2,0,0,0,35.2,0,15.2,0,0,0,91.52,89.44,91.52,107.36,55.76,76.64,91.52,90.4,91.6,103.04,58.08,77.12,91.36,54.64,90.4,72.56,36.16,56.96,91.36,61.12,91.52,72.48,39.68,56.16,91.6,69.2,91.68,83.2,42.56,67.12,91.6,73.84,91.68,85.6,46.64,66.24,2.45454545454545,2.59649122807018,3.73333333333333,0,0,0,2.56521739130435,2.546875,3.80434782608696,0,0,0,2.85714285714286,2.19047619047619,3.5,0,0,0,2.85714285714286,2.275,3.51162790697674,0,0,0,2.80769230769231,2.56,3.76595744680851,0,0,0,2.80769230769231,2.46,3.73913043478261,0,0,0,48183.6,29887.6,37042.4,33550,17425,23950,46384.4,30256.8,36098.6,32200,18150,24100,35816,17075,30118.4,22675,11300,17800,35816,19100,30606.8,22650,12400,17550,40665.8,21625,33909.2,26000,13300,20975,40804.2,23075,33909.2,26750,14575,20700
2023-01-10,55,4,20,0,0,0,48.8,2.2,16.4,0,0,0,15.6,0,2.8,0,0,0,15.8,0,2.8,0,0,0,28.8,0,10.8,0,0,0,29.8,0,9,0,0,0,91.68,84.72,91.52,103.04,56.4,75.76,91.68,84.08,91.6,97.2,54.88,75.84,91.44,46.8,86.64,69.2,32.96,55.36,91.44,53.76,88,69.44,37.44,54.16,91.52,61.36,91.52,77.44,42.96,65.12,91.52,64.8,91.36,80.48,45.52,60.8,1.74074074074074,2.71052631578947,3.79487179487179,0,0,0,2.13793103448276,2.66666666666667,3.8695652173913,0,0,0,2.52777777777778,2.03846153846154,3.77777777777778,0,0,0,2.52777777777778,1.87096774193548,3.70731707317073,0,0,0,2.84615384615385,2.48387096774194,3.86046511627907,0,0,0,2.84615384615385,2.26470588235294,3.83720930232558,0,0,0,47680,27859,35520,32200,17625,23675,45534.8,27036.2,34299.4,30375,17150,23700,33972.6,14625,28043.8,21625,10300,17300,34041.8,16800,28468.8,21700,11700,16925,38564.8,19175,32336.8,24200,13425,20350,38910.8,20250,31664,25150,14225,19000
